# Plain UART-style lines
# speed=1.0
T,DIR,ANG_PCT,STEER,PWM_MS,FPS
1767060897.97,STRAIGHT,0,+0.000,1.500,0.00
1767060898.12,RIGHT,11,+0.112,1.556,0.00
1767060898.24,RIGHT,17,+0.176,1.588,0.00
1767060898.34,RIGHT,15,+0.152,1.576,0.00
1767060898.48,RIGHT,15,+0.156,1.578,0.00
1767060898.62,RIGHT,13,+0.136,1.568,0.00
1767060898.77,RIGHT,8,+0.082,1.541,14.92
1767060898.91,RIGHT,9,+0.099,1.549,14.92
1767060899.04,RIGHT,8,+0.087,1.544,14.92
1767060899.17,STRAIGHT,0,+0.000,1.500,14.92
1767060899.31,STRAIGHT,0,+0.000,1.500,14.92
1767060899.41,STRAIGHT,0,+0.000,1.500,14.92
1767060899.51,STRAIGHT,0,+0.000,1.500,14.92
1767060899.65,STRAIGHT,0,+0.000,1.500,14.92
1767060899.75,STRAIGHT,0,+0.000,1.500,14.92
1767060899.89,STRAIGHT,0,+0.000,1.500,21.39
1767060900.02,STRAIGHT,0,+0.000,1.500,21.39
1767060900.16,STRAIGHT,0,+0.000,1.500,21.39
1767060900.29,STRAIGHT,0,+0.000,1.500,21.39
1767060900.42,STRAIGHT,0,+0.000,1.500,21.39
1767060900.56,STRAIGHT,0,+0.000,1.500,21.39
1767060900.70,STRAIGHT,0,+0.000,1.500,21.39
1767060900.84,RIGHT,13,+0.139,1.570,22.11
1767060900.98,RIGHT,20,+0.205,1.602,22.11
1767060901.12,RIGHT,23,+0.240,1.620,22.11
1767060901.26,RIGHT,35,+0.350,1.675,22.11
1767060901.40,RIGHT,41,+0.419,1.710,22.11
1767060901.53,RIGHT,33,+0.338,1.669,22.11
1767060901.68,RIGHT,27,+0.279,1.639,22.11
1767060901.81,RIGHT,16,+0.170,1.585,22.11
1767060901.96,RIGHT,14,+0.141,1.570,21.47
1767060902.09,RIGHT,16,+0.161,1.581,21.47
1767060902.23,RIGHT,27,+0.276,1.638,21.47
1767060902.38,RIGHT,40,+0.404,1.702,21.47
1767060902.52,RIGHT,58,+0.581,1.790,21.47
1767060902.65,RIGHT,69,+0.694,1.847,21.47
1767060902.80,RIGHT,75,+0.754,1.877,21.47
1767060902.94,RIGHT,80,+0.804,1.902,21.27
1767060903.08,RIGHT,85,+0.850,1.925,21.27
1767060903.22,RIGHT,76,+0.767,1.883,21.27
1767060903.35,RIGHT,77,+0.772,1.886,21.27
1767060903.50,RIGHT,88,+0.883,1.942,21.27
1767060903.63,RIGHT,77,+0.778,1.889,21.27
1767060903.77,RIGHT,88,+0.887,1.943,21.27
1767060903.92,RIGHT,89,+0.892,1.946,21.58
1767060904.05,RIGHT,94,+0.945,1.972,21.58
1767060904.20,RIGHT,96,+0.964,1.982,21.58
1767060904.33,RIGHT,97,+0.980,1.990,21.58
1767060904.46,RIGHT,98,+0.990,1.995,21.58
1767060904.60,RIGHT,99,+0.995,1.997,21.58
1767060904.73,RIGHT,94,+0.944,1.972,21.58
1767060904.86,RIGHT,87,+0.880,1.940,21.58
1767060905.00,RIGHT,73,+0.731,1.865,22.09
1767060905.14,RIGHT,58,+0.582,1.791,22.09
1767060905.28,RIGHT,45,+0.455,1.727,22.09
1767060905.42,RIGHT,35,+0.357,1.679,22.09
1767060905.55,RIGHT,28,+0.283,1.642,22.09
1767060905.68,RIGHT,30,+0.308,1.654,22.09
1767060905.81,RIGHT,27,+0.277,1.639,22.09
1767060905.95,RIGHT,28,+0.284,1.642,22.09
1767060906.08,RIGHT,40,+0.406,1.703,22.09
1767060906.22,RIGHT,51,+0.511,1.755,22.09
1767060906.36,RIGHT,68,+0.688,1.844,22.09
1767060906.49,RIGHT,81,+0.815,1.907,22.09
1767060906.63,RIGHT,66,+0.669,1.834,22.09
1767060906.78,RIGHT,62,+0.621,1.810,22.09
1767060906.91,RIGHT,59,+0.600,1.800,22.09
1767060907.05,RIGHT,55,+0.553,1.777,21.91
1767060907.15,RIGHT,59,+0.592,1.796,21.91
1767060907.29,RIGHT,76,+0.760,1.880,21.91
1767060907.43,RIGHT,86,+0.865,1.933,21.91
1767060907.58,RIGHT,78,+0.785,1.893,21.91
1767060907.72,RIGHT,77,+0.776,1.888,21.91
1767060907.87,RIGHT,74,+0.743,1.872,21.91
1767060908.00,RIGHT,72,+0.727,1.864,20.98
1767060908.15,RIGHT,67,+0.672,1.836,20.98
1767060908.29,RIGHT,58,+0.590,1.795,20.98
1767060908.43,RIGHT,60,+0.608,1.804,20.98
