# Plain UART-style lines
# speed=1.0
T,DIR,ANG_PCT,STEER,PWM_MS,FPS
1767380548.88,STRAIGHT,0,+0.000,1.500,23.09
1767380549.02,STRAIGHT,0,+0.000,1.500,23.09
1767380549.15,STRAIGHT,0,+0.000,1.500,23.09
1767380549.29,STRAIGHT,0,+0.000,1.500,23.09
1767380549.42,STRAIGHT,0,+0.000,1.500,23.09
1767380549.56,LEFT,35,-0.360,1.320,23.09
1767380549.69,LEFT,65,-0.656,1.172,22.48
1767380549.82,LEFT,73,-0.739,1.131,22.48
1767380549.95,LEFT,71,-0.719,1.141,22.48
1767380550.08,LEFT,78,-0.781,1.109,22.48
1767380550.21,LEFT,72,-0.729,1.136,22.48
1767380550.34,LEFT,66,-0.669,1.165,22.48
1767380550.46,LEFT,43,-0.431,1.285,22.48
1767380550.59,LEFT,22,-0.229,1.386,22.48
1767380550.72,LEFT,23,-0.234,1.383,23.25
1767380550.86,LEFT,40,-0.400,1.300,23.25
1767380550.99,LEFT,50,-0.501,1.249,23.25
1767380551.12,LEFT,52,-0.530,1.235,23.25
1767380551.25,LEFT,44,-0.445,1.278,23.25
1767380551.39,LEFT,28,-0.284,1.358,23.25
1767380551.53,LEFT,12,-0.123,1.439,23.25
1767380551.66,RIGHT,10,+0.110,1.555,23.25
1767380551.79,RIGHT,44,+0.445,1.723,22.55
1767380551.92,RIGHT,67,+0.674,1.837,22.55
1767380552.05,RIGHT,82,+0.826,1.913,22.55
1767380552.25,RIGHT,88,+0.885,1.942,22.55
1767380552.39,RIGHT,94,+0.941,1.970,22.55
1767380552.49,RIGHT,95,+0.958,1.979,22.55
1767380552.64,RIGHT,97,+0.972,1.986,22.55
1767380552.79,RIGHT,98,+0.984,1.992,19.29
1767380552.93,RIGHT,99,+0.992,1.996,19.29
1767380553.03,RIGHT,99,+0.995,1.997,19.29
1767380553.18,RIGHT,98,+0.987,1.993,19.29
1767380553.32,RIGHT,98,+0.986,1.993,19.29
1767380553.46,RIGHT,99,+0.993,1.996,19.29
1767380553.60,RIGHT,98,+0.989,1.995,19.29
1767380553.74,RIGHT,95,+0.953,1.976,19.29
1767380553.84,RIGHT,89,+0.892,1.946,20.81
1767380553.98,RIGHT,74,+0.748,1.874,20.81
1767380554.11,RIGHT,63,+0.633,1.816,20.81
1767380554.24,RIGHT,53,+0.531,1.765,20.81
1767380554.37,RIGHT,44,+0.441,1.720,20.81
1767380554.51,RIGHT,34,+0.347,1.673,20.81
1767380554.65,RIGHT,31,+0.317,1.658,20.81
1767380554.78,RIGHT,28,+0.286,1.643,20.81
1767380554.92,RIGHT,28,+0.288,1.644,22.21
1767380555.05,RIGHT,27,+0.278,1.639,22.21
1767380555.17,RIGHT,24,+0.245,1.622,22.21
1767380555.32,RIGHT,22,+0.224,1.612,22.21
1767380555.45,RIGHT,22,+0.224,1.612,22.21
1767380555.58,RIGHT,20,+0.210,1.605,22.21
1767380555.71,RIGHT,22,+0.222,1.611,22.21
1767380555.84,RIGHT,27,+0.272,1.636,22.86
1767380555.98,RIGHT,34,+0.346,1.673,22.86
1767380556.11,RIGHT,40,+0.405,1.703,22.86
1767380556.24,RIGHT,45,+0.456,1.728,22.86
1767380556.37,RIGHT,57,+0.571,1.786,22.86
1767380556.49,RIGHT,61,+0.615,1.808,22.86
1767380556.63,RIGHT,69,+0.693,1.846,22.86
1767380556.77,RIGHT,72,+0.721,1.860,22.86
1767380556.90,RIGHT,69,+0.699,1.849,22.54
1767380557.03,RIGHT,63,+0.634,1.817,22.54
1767380557.16,RIGHT,74,+0.750,1.875,22.54
1767380557.29,RIGHT,76,+0.763,1.881,22.54
1767380557.42,RIGHT,74,+0.742,1.871,22.54
1767380557.55,RIGHT,77,+0.774,1.887,22.54
1767380557.69,RIGHT,86,+0.862,1.931,22.54
1767380557.81,RIGHT,90,+0.909,1.955,22.54
1767380557.94,RIGHT,94,+0.950,1.975,23.16
1767380558.07,RIGHT,94,+0.941,1.971,23.16
1767380558.21,RIGHT,95,+0.958,1.979,23.16
1767380558.34,RIGHT,96,+0.965,1.982,23.16
1767380558.48,RIGHT,85,+0.856,1.928,23.16
1767380558.61,RIGHT,60,+0.608,1.804,23.16
1767380558.74,RIGHT,38,+0.388,1.694,23.16
1767380558.87,RIGHT,25,+0.252,1.626,23.16
1767380559.01,RIGHT,19,+0.197,1.599,22.48
1767380559.15,RIGHT,21,+0.217,1.609,22.48
1767380559.28,RIGHT,19,+0.198,1.599,22.48
1767380559.42,RIGHT,21,+0.215,1.608,22.48
1767380559.56,RIGHT,23,+0.230,1.615,22.48
1767380559.70,RIGHT,22,+0.229,1.615,22.48
1767380559.82,RIGHT,22,+0.229,1.615,22.48
1767380559.95,RIGHT,23,+0.234,1.617,22.19
